Player,Team_x,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,WS,WS/48,Pick,Pos,Weight,Age,Pre-Draft Team,Agility,Shuttle Run,Sprint,Standing Vertical,Max Vertical Leap,Max Bench Press,Body Fat Percentage,Hand Length,Hand Width,Heightw/oshoesinches,Heightw/shoesinches,Standing_Reach_inches,Wingspan_inches
Andre Roberson,CU,36,30.2,4.1,8.1,0.51,0.5,1.4,0.38,2.8,4.6,0.614,1.8,2.4,3.1,8,11.1,1.2,1.3,1.9,11.6,0.565,0.543,150.5,12.7,29.5,21.6,8.8,14.9,2.6,6.8,21.2,-3.5,1.4,112.5,84.1,28.4,513,24.6,4.2,0.085,26,SG,210,21,Colorado,11.36,3.02,3.34,30,36.5,10,0.0705,8.75,9.5,78.25,79,104.5,83
Lavoy Allen,TEM,33,33.9,4.7,9.7,0.48,0.2,0.5,0.294,2.1,3,0.697,1.6,2.3,2.7,5.9,8.6,2.3,0.7,1.8,11.6,0.603,0.592,155.4,14.5,17.8,16.2,13.9,12.3,0.8,5.2,17.4,0.3,1.4,126.9,95.9,31,438.4,22.4,3.7,0.11,50,PF/C,260,22,Temple,,,,,,,,,,,,,
Vernon Macklin,UF,37,24.5,5.2,8.7,0.593,0,0,0,1.2,2.8,0.451,1.7,2.5,2.2,3.2,5.4,0.8,0.4,0.7,11.6,0.608,0.607,119.5,11.9,12.9,12.4,6.5,13.5,1.4,3.5,19.9,-3.4,1.4,119,99.9,19.1,288.5,20.6,0.5,0.161,52,F,227,24,Florida,,,,,,,,,,,,,
Ryan Kelly,DUKE,31,25.9,3.5,7.8,0.444,1.3,3.2,0.408,3.6,4.5,0.807,1.4,2.3,1.8,3.6,5.4,1.1,0.8,1,11.8,0.597,0.527,165.9,8.2,15.3,11.9,8.5,12.3,1.7,3.4,21.7,-2.4,1.5,124.4,98.2,26.3,283.5,22.1,2.2,0.081,48,PF,230,22,Duke,-,-,-,-,-,-,0.1475,9,10,81.75,83.75,110,83.5
Michael Kidd-Gilchrist,UK,40,31.1,4,8.2,0.491,0.3,1.3,0.255,3.6,4.8,0.745,2.2,2.4,2.6,4.8,7.4,1.9,1,0.9,11.9,0.57,0.511,149,10.1,16.3,13.4,10.8,17.3,1.9,2.9,20.6,-3,1.5,115.3,90.7,24.6,424.5,20.3,5.8,0.119,2,SF,232,18,Kentucky,11.77,-,3.18,32,35.5,6,0.07,9,10.25,77.75,79.5,104.5,84
Devin Ebanks,WVU,34,34.1,4.2,9.3,0.457,0.1,0.9,0.1,3.4,4.5,0.77,2.2,1.6,2.9,5.2,8.1,2.4,1.1,0.7,12,0.528,0.479,129.5,9.7,20,14.7,17.4,16.2,1.7,2.6,19.5,-0.5,1.3,112.6,91.7,20.9,380.2,19.2,0.4,0.144,43,SF/PF,215,20,West Virginia,11.69,-,3.44,23.5,32,6,0.079,8.25,9,79,80.25,107.5,84.25
Andy Rautins,SU,35,32.5,3.7,8.5,0.438,2.8,6.9,0.407,1.9,2.3,0.815,2.8,2.2,0.5,2.9,3.4,4.9,2,0.2,12.1,0.632,0.603,165.9,2,8.8,5.7,23.8,22.6,3.5,0.8,18.4,1.3,1.4,117,96.2,20.9,375.9,17.5,-0.2,-0.314,38,SG,190,23,Syracuse,11.27,-,3.49,23.5,30.5,8,0.062,8,9.75,76.25,77,100,79
Lance Stephenson,UC,34,28.2,4.8,10.8,0.441,0.5,2.1,0.219,2.3,3.5,0.664,2.4,1.9,1.9,3.5,5.4,2.5,0.9,0.2,12.3,0.495,0.463,132.4,7.2,14,10.6,19.3,16.1,2,0.7,26.2,-2.6,1.1,101.4,99.5,1.9,258.4,17.2,7.4,0.13,40,SG,230,19,Cincinnati,11.39,-,3.38,27,33,10,0.093,9,10.25,76.5,77.75,103,82.5
Tyrus Thomas,LSU,32,25.9,4.8,7.8,0.608,0,0,1,2.8,4.3,0.657,1.8,2.6,2.8,6.5,9.3,1.3,1,3.1,12.3,0.627,0.61,226.5,12.6,26.6,19.9,10.2,15.8,2.4,12.1,21.5,-3.6,1.6,120.4,79.7,40.8,475.4,28.5,4.6,0.101,4,PF/SF,225,19,LSU,11.36,-,3.2,34,39.5,8,0.056,-,-,79.25,80.25,108,87
Derrick Favors,GT,36,27.5,5,8.1,0.611,0,0,0,2.5,4,0.629,2.5,2.6,3,5.4,8.4,1,0.9,2.1,12.4,0.621,0.611,124,12.4,20.5,16.6,7.9,20,1.9,8.1,21.8,-6.4,1.5,111.6,88.1,23.5,434.9,23.3,8.3,0.175,3,PF/C,265,18,Georgia Tech,11.74,-,3.25,31.5,35.5,14,0.065,8.75,9.25,80.75,82.25,110,88
Quincy Acy,BU,31,31,4.4,8.3,0.535,0,0.1,0,3.6,5.2,0.685,2.1,2.5,2.8,4.9,7.7,0.9,0.9,1.5,12.4,0.638,0.582,185.8,11,18.3,14.8,6.5,17.4,1.8,6.6,19.2,-4.5,1.7,121.7,93.7,28,430,22.3,2.5,0.137,37,PF,240,21,Baylor,10.48,-,3.28,32,37,13,0.071,9.5,11,78.5,79.75,106.5,86.75
